post_id,published_at,post_type,caption,post_url,video_length_bucket,views,reach,likes,comments,shares,saves,total_engagements,save_rate,share_rate,engagement_rate,is_reach_missing,global_views_rank,global_engagement_rate_rank
17939989097939881,2024-12-16 07:40:00,ig reel,"436 balls, 241 runs without playing the most frequently played shot (cover drive). A lot of things can be achieved in cricket, but I personally think this can't.  @sachintendulkar 🛐

#sachintendulkar #sachin #241notout #scg #tendulkar #arjuntendulkar",https://www.instagram.com/reel/DDpQJe6uBaS/,short,723794,399046,62533,650,12340,3122,78645,0.78,3.09,19.71,false,12,9
18050213972502601,2024-12-14 05:49:00,ig reel,"When are we going to change as people? 
Kambli explains how Tendulkar has helped him in the time of needs. 
@sachintendulkar @vinodkambli2016 

#sachintendulkar #vinodkambli #kambli #sachin #tendulkar #arjuntendulkar #saratendulkar#. Were you one of those people?",https://www.instagram.com/reel/DDj5i4FIAXG/,long,19438,13363,764,21,190,87,1062,0.65,1.42,7.95,false,35,67
17931867131848930,2024-12-03 23:25:00,ig reel,"Vinod Kambli, who hasn’t been in the best of health lately, was seen clinging to Sachin, possibly not even recognizing him. But Sachin’s warm smile says everything about the bond they share and what Kambli still means to him 😍

@sachintendulkar @vinodkambli2016 

#sachin #sachintendulkar #vinodkambli #tendulkar #saratendulkar #rajthackrey",https://www.instagram.com/reel/DDJdhzCuKx4/,long,7626,5605,353,3,24,14,394,0.25,0.43,7.03,false,48,70
18107491702446439,2024-11-30 05:51:00,ig reel,"Godly stuff. 

#saratendulkar #sachin #sachintendulkar #tendulkar #arjuntendulkar #godofcricket",https://www.instagram.com/reel/DC_25F-o15k/,short,4082,2518,255,4,168,35,462,1.39,6.67,18.35,false,70,15
18050662579966558,2024-11-28 06:08:00,ig reel,"Which shot was your favourite?👀

#sachin #sachintendulkar #2003wc #arjuntendulkar #saratendulkar #icc #bcci #tendulkar #wasimakram #shoaibakhtar #pcb",https://www.instagram.com/reel/DC6ulfDoNux/,long,7308,4991,576,5,42,54,677,1.08,0.84,13.56,false,51,34
18023008913536639,2024-11-27 04:21:00,ig reel,"Guess

#sachintendulkar #sachin #saratendulkar #arjuntendulkar #ipl #icc #bcci #indiacricket #indiancricketteam #notateaser",https://www.instagram.com/reel/DC3-bfMoYhF/,short,25760,15959,1843,55,174,113,2185,0.71,1.09,13.69,false,33,33
17857055028303681,2024-11-23 04:19:00,ig reel,"A batting avg of almost 57 after 175 tests is stupid crazy. The Devil himself: master @sachintendulkar 🙇

#saratendulkar #sachin #sachintendulkar #arjuntendulkar #bcci #icc #testcricket #testmatch #cricket #tendulkar",https://www.instagram.com/reel/DCtqkRIOOuO/,medium,115209,77286,12616,126,2259,651,15652,0.84,2.92,20.25,false,27,7
18472509448002468,2024-11-20 06:19:00,ig reel,"Master's first appearance after his retirement in a Sachin-vs-Warne game in 2015 in a New York stadium. Scored a ruthless 56 off 27.

#sachintendulkar #saratendulkar  #sachin #shanewarne #arjuntendulkar #saratendulkar #bcci #icc #indiancricket #indiacricket 

Have you watched this game?",https://www.instagram.com/reel/DCmKU5Xo4cc/,long,11052,8962,795,7,58,53,913,0.59,0.65,10.19,false,41,56
18308605480160070,2024-11-16 05:46:00,ig reel,"11 years since that unforgettable day. The entire nation, cricket fans and non-fans alike, was emotional. Nobody wanted his speech to end; nobody wanted him to go. Sachin, Sachin!

#ThankYouSachin

#cricketlegend #sachintendulkar #sachin
#cricket #godofcricket #saratendulkar
#arjuntendulkar #wankhede #icc #bcci #indiancricket #lastmatch #onthisday #thankyousachin",https://www.instagram.com/reel/DCbzXrzIGZP/,long,16840,12308,2049,27,130,158,2364,1.28,1.06,19.21,false,37,10
17846297619331282,2024-11-14 05:59:00,ig reel,"I'm sure he is just confused with the meanings of underrated and overrated 🥰
@sachintendulkar 

#sachintendulkar #arjuntendulkar #sachin #saratendulkar #indiacricketteam #indiacricket #indianteam #bcci #icc #cricket #foreveryoung 

Are we saving water for this generation, guys?",https://www.instagram.com/reel/DCWrUTQoCIM/,medium,3242051,2021804,409081,4691,58048,10495,482315,0.52,2.87,23.86,false,1,1
17943651311911119,2024-11-12 06:37:00,ig reel,"Sachin toyed with the bowlers before getting bowled to Kumble at 125 runs. One of the greatest innings at one of the most iconic cricketing venues. 
@sachintendulkar 

#sachintendulkar
#sachin #arjuntendulkar #lords #icc #saratendulkar #bcci #indiacricketteam #shanewarne",https://www.instagram.com/reel/DCRmEPRIH94/,long,6328,5234,448,5,96,56,605,1.07,1.83,11.56,false,54,47
17877770997179102,2024-11-03 06:29:00,ig reel,"Tendulkar's 50th test century at the age of 37 against the likes of Steyn, Morne, and Kallis🤯
@sachintendulkar 

#sachintendulkar #arjuntendulkar #sachin #indiacricket #indiacricketteam #indianteam #icc #saratendulkar",https://www.instagram.com/reel/DB6aAvjosDv/,long,1777332,1330018,208935,1022,21702,7932,239591,0.6,1.63,18.01,false,2,17
18037027421021440,2024-10-27 09:07:00,ig reel,"Saqlain Mushtaq on Sachin Tendulkar 🔥
@saqlain_mushtaq_ @sachintendulkar 

#sachintendulkar #arjuntendulkar #sachin #indiacricket #saratendulkar #indiacricketteam #indianteam #icc #bcci",https://www.instagram.com/reel/DBojRu5o8GV/,long,3955,3250,182,1,29,9,221,0.28,0.89,6.8,false,71,73
18082160593531305,2024-10-26 03:46:00,ig reel,I'm not crying 😭,https://www.instagram.com/reel/DBlaAk1vdHG/,long,919485,,112871,2681,19095,0,134647,,,,true,9,79
18008114294473777,2024-10-20 09:57:00,ig reel,"Sachin Tendulkar has more Odi wickets than many full-time bowers☠️

@sachintendulkar 

#sachintendulkar #arjuntendulkar #sachin #indiacricket #saratendulkar #indiacricketteam #indianteam #icc #bcci #jaspritbumrah #bumrah #bhuvaneshwarkumar #patcummins #joshhazlewood",https://www.instagram.com/reel/DBWn0CfOGBh/,medium,161113,88959,12622,272,5906,860,19660,0.97,6.64,22.1,false,23,4
17881606101137727,2024-10-15 08:30:00,ig reel,"Screams by Australians in an Australian stadium for the legendary @sachintendulkar in the match presentation of the 2015 ODI World Cup. 

@shebas_10dulkar @olamadalcricket @michaelclarkeofficial @sachinborntowin @sachin_tendulkar_big_fanclub @sachinfansclub_10 @sudhir.10dulkar @saratendulkar @arjuntendulkar24 @icc

#sachintendulkar #sachin #arjuntendulkar #saratendulkar #indianteam #2015wc #indiacricket #indiacricketteam #indianteam  #icc  #bcci

 Do you agree?",https://www.instagram.com/reel/DBJlBryIpZK/,medium,545353,333808,67230,330,8381,3572,79513,1.07,2.51,23.82,false,13,2
18252914875251367,2024-10-13 07:56:00,ig reel,"The giant and the giant slayer's legendary battle. 

@shebas_10dulkar @sachinborntowin @olamadalcricket @sachintendulkar @arjuntendulkar24 @curtlyambrose_ @saratendulkar 

#sachin #sachintendulkar #curtlyambrose #arjuntendulkar #saratendulkar",https://www.instagram.com/reel/DBEYF-NoFQn/,long,4459,3206,246,6,7,17,276,0.53,0.22,8.61,false,62,63
17890203084096975,2024-10-11 06:41:00,ig reel,"Tendulkar's 98 against Pak in the 2003 world cup with Tumbbad Anthem's insane music😉

@shebas_10dulkar  @olamadalcricket  @sachintendulkar @sachinborntowin @100masterblaster 

#sachintendulkar #arjuntendulkar #sachin #indiacricket #indiacricketteam #indianteam #saratendulkar #tumbbad #tumbbadthefilm",https://www.instagram.com/reel/DA_F9GOIyzg/,long,3787,3050,197,2,2,11,212,0.36,0.07,6.95,false,72,71
18008349485458936,2024-10-06 06:46:00,ig reel,"Sachin Tendulkar crosses the 50k run mark in a CLT20 game. The screams perfectly summarize his stature during that time.

@sachintendulkar @sachintendulkarfoundation
@shebas_10dulkar  @sachinborntowin @olamadalcricket 

Credit: Vinay Mishra on YT.

#sachintendulkar #indiacricket #arjuntendulkar #sachin #indiacricketteam #indianteam 
#saratendulkar",https://www.instagram.com/reel/DAyObi9oEmo/,long,3235,2667,180,5,1,13,199,0.49,0.04,7.46,false,74,68
18047743444804335,2024-10-04 08:03:00,ig reel,"Virat narrates how he and @yuvisofficial and @harbhajan3 kneeled before Sachin Tendulkar to sing a song for him😍

@shebas_10dulkar  @sachinborntowin  @sachinsuperfan  @sachinsaga.game

#sachintendulkar #indiacricket #sachin #arjuntendulkar #viratkohli #yuvrajsingh #harbhajansingh",https://www.instagram.com/reel/DAtOEaDIyf5/,long,4584,3063,257,5,29,13,304,0.42,0.95,9.92,false,61,58
18064430089631768,2024-10-03 09:29:00,ig reel,"""Sachin Sachin"" chants during the Ind v Pak World Cup game in 2023. His craze is truly timeless!

Credit: @thecricketingvoyage on YouTube.

#sachintendulkar #sachin #indianteam #indiacricket #indiacricketteam #arjuntendulkar",https://www.instagram.com/reel/DAqyvo8oA_U/,short,4639,2950,268,7,22,11,308,0.37,0.75,10.44,false,60,55
