"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
17857055028303681,17841469585585053,sachin.tastic,"The man, the myth, the God!","A batting avg of almost 57 after 175 tests is stupid crazy. The Devil himself: master @sachintendulkar 🙇

#saratendulkar #sachin #sachintendulkar #arjuntendulkar #bcci #icc #testcricket #testmatch #cricket #tendulkar",19,"11/23/2024 04:19",https://www.instagram.com/reel/DCtqkRIOOuO/,"IG reel",,Lifetime,115209,77286,12616,2259,51,126,651
18023008913536639,17841469585585053,sachin.tastic,"The man, the myth, the God!","Guess

#sachintendulkar #sachin #saratendulkar #arjuntendulkar #ipl #icc #bcci #indiacricket #indiancricketteam #notateaser",10,"11/27/2024 04:21",https://www.instagram.com/reel/DC3-bfMoYhF/,"IG reel",,Lifetime,25760,15959,1843,174,21,55,113
18050662579966558,17841469585585053,sachin.tastic,"The man, the myth, the God!","Which shot was your favourite?👀

#sachin #sachintendulkar #2003wc #arjuntendulkar #saratendulkar #icc #bcci #tendulkar #wasimakram #shoaibakhtar #pcb",59,"11/28/2024 06:08",https://www.instagram.com/reel/DC6ulfDoNux/,"IG reel",,Lifetime,7308,4991,576,42,10,5,54
18107491702446439,17841469585585053,sachin.tastic,"The man, the myth, the God!","Godly stuff. 

#saratendulkar #sachin #sachintendulkar #tendulkar #arjuntendulkar #godofcricket",13,"11/30/2024 05:51",https://www.instagram.com/reel/DC_25F-o15k/,"IG reel",,Lifetime,4082,2518,255,168,1,4,35
17931867131848930,17841469585585053,sachin.tastic,"The man, the myth, the God!","Vinod Kambli, who hasn’t been in the best of health lately, was seen clinging to Sachin, possibly not even recognizing him. But Sachin’s warm smile says everything about the bond they share and what Kambli still means to him 😍

@sachintendulkar @vinodkambli2016 

#sachin #sachintendulkar #vinodkambli #tendulkar #saratendulkar #rajthackrey",33,"12/03/2024 23:25",https://www.instagram.com/reel/DDJdhzCuKx4/,"IG reel",,Lifetime,7626,5605,353,24,4,3,14
18050213972502601,17841469585585053,sachin.tastic,"The man, the myth, the God!","When are we going to change as people? 
Kambli explains how Tendulkar has helped him in the time of needs. 
@sachintendulkar @vinodkambli2016 

#sachintendulkar #vinodkambli #kambli #sachin #tendulkar #arjuntendulkar #saratendulkar#. Were you one of those people?",37,"12/14/2024 05:49",https://www.instagram.com/reel/DDj5i4FIAXG/,"IG reel",,Lifetime,19438,13363,764,190,8,21,87
17939989097939881,17841469585585053,sachin.tastic,"The man, the myth, the God!","436 balls, 241 runs without playing the most frequently played shot (cover drive). A lot of things can be achieved in cricket, but I personally think this can't.  @sachintendulkar 🛐

#sachintendulkar #sachin #241notout #scg #tendulkar #arjuntendulkar",10,"12/16/2024 07:40",https://www.instagram.com/reel/DDpQJe6uBaS/,"IG reel",,Lifetime,723794,399046,62533,12340,451,650,3122
18086334457527342,17841469585585053,sachin.tastic,"The man, the myth, the God!","He's at the pinnacle of test cricket—indisputably  the greatest test batsman of all time. 

#sachintendulkar #sachin #tendulkar 
 #arjuntendulkar 

Have you watched this game live?",60,"12/19/2024 02:53",https://www.instagram.com/reel/DDwdVpBOgei/,"IG reel",,Lifetime,5090,3934,504,117,5,3,34
17910587529062441,17841469585585053,sachin.tastic,"The man, the myth, the God!","For additional comparison, after around 170 tests, Sachin had an average of 57, while Smith, after 112 tests, is currently at 56. Additionally, Tendulkar had an average of 60 after a similar number of tests. So even if we set aside the DRS factor or the influences of different eras, it is evident that Sachin stands far ahead of Smith in Tests regardless.

@sachintendulkar @steve_smith49 

#sachin #sachintendulkar #stevesmith #testcricket #cricketaustralia #tendulkar",16,"12/20/2024 05:59",https://www.instagram.com/reel/DDzX3sGocLP/,"IG reel",,Lifetime,1574968,871202,68681,7735,279,1139,2165
18042274196201285,17841469585585053,sachin.tastic,"The man, the myth, the God!","Is there something he can't do?🙇‍♂️ @sachintendulkar 

#sachin #sachintendulkar #tendulkar #bumrah #jaspritbumrah #siraj",14,"12/24/2024 05:52",https://www.instagram.com/reel/DD9qUVUodqS/,"IG reel",,Lifetime,1173388,634853,61488,9698,77,200,1281
